state,downstream_hazard_potential,incident_driver,owner_type,dam_type,primary_purpose_s,eap,dam_height,max_storage_ac_ft,surface_area_acres,year_completed,latitude,longitude,year_modified,incident_date_year,incident_date_month,incident_date_day,incident_time_year,incident_time_month,incident_time_day,incident_time_hour,number_of_people_evacuated,number_of_habitable_structures_evacuated,number_of_habitable_structures_flooded,volume_released_at_failure_ac_ft,incident_duration
0,0,0,1,0,1,0,12,120,0,1955,32.758,-89.5672,-1,1970,1,1,1970,1,1,0,0,0,0,1,0
3,4,0,3,0,1,3,8,-1,0,1930,40,106,-1,1970,1,1,1970,1,1,0,0,1,0,1,0
22,1,7,1,9,19,2,80,28250,930,1912,41.2556,-114.913,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
1,0,0,1,0,20,1,20,165,10,1970,33.8417,-80.3283,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
19,0,0,0,10,21,0,18,6270,198,1912,44.2917,-90.8625,-1,1970,1,1,1970,1,1,0,0,0,0,1,0
6,0,5,1,0,1,0,18,137,12,1950,31.3741,-94.8517,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
1,0,0,1,0,1,1,16,74,9,1960,34.045,-79.8183,-1,1970,1,1,1970,1,1,0,0,0,0,1,8
23,1,0,2,11,22,1,15,611,48,-1,38.904,-75.4848,-1,1970,1,1,1970,1,1,0,0,1,0,3,0
24,0,3,1,0,1,0,12,300,13,1978,43.525,-85.075,-1,1970,1,1,1970,1,1,0,0,1,0,1,0
0,3,2,1,0,7,3,1,-1,0,-1,0,0,-1,1970,1,1,1970,1,1,0,0,0,0,1,1
6,0,0,1,0,1,0,12,150,29,1890,31.5889,-94.1114,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
18,1,0,2,12,21,2,165,16330,430,1974,42.4538,-74.4555,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
18,1,0,2,0,21,2,170,18500,355,1974,42.4451,-74.4384,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
14,1,5,3,0,7,3,33,0,0,1960,42.4599,-96.7315,-1,1970,1,1,1970,1,1,0,7,5,0,4,9
25,4,0,1,0,1,1,19,36,4,1960,46.0947,-117.189,-1,1970,1,1,1970,1,1,0,0,0,4,5,10
19,0,0,2,0,1,1,10,900,158,1972,42.625,-88.1139,2015,1970,1,1,1970,1,1,0,0,1,0,3,0
26,4,0,0,0,13,2,76,1502.1,9,1957,48.7844,-97.9801,1984,1970,1,1,1970,1,1,0,5,6,0,1,11
26,4,0,0,0,23,1,76,1502.1,9,1957,48.7844,-97.9801,1984,1970,1,1,1970,1,1,0,0,1,0,1,0
4,3,1,3,2,7,3,1,-1,0,-1,0,0,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
27,2,5,1,0,1,0,10,104,14,-1,31.4389,-83.4083,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
1,0,0,1,0,1,1,16,70,7,1900,34.0367,-79.5383,-1,1970,1,1,1970,1,1,0,0,0,0,1,8
25,3,2,3,13,7,3,1,-1,0,-1,0,0,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
1,0,0,1,0,24,1,13,68,75,1963,33.9183,-80.7567,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
6,4,0,1,0,2,0,15,195,0,1976,30.7212,-94.4486,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
1,0,0,1,0,1,1,16,55,160,1957,33.88,-80.4383,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
17,4,2,0,4,1,2,13,152,22,1840,40.3098,-74.5166,-1,1970,1,1,1970,1,1,0,0,1,0,1,0
5,0,3,2,4,0,0,32,450,30,1952,44.3358,-95.9214,1997,1970,1,1,1970,1,1,0,0,0,0,6,12
18,4,0,3,2,1,1,18,48,5,-1,41.4489,-73.9633,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
14,0,0,3,0,7,3,26,-1,0,-1,0,0,-1,1970,1,1,1970,1,1,0,8,1,5,7,0
24,3,0,3,2,7,3,1,-1,0,-1,0,0,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
16,1,3,0,14,25,2,82,19560,800,1943,39.1934,-77.0055,-1,1970,1,1,1970,1,1,0,0,0,0,1,0
16,1,4,0,14,25,2,82,19560,800,1943,39.1934,-77.0055,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
3,0,3,1,0,8,0,15,200,16,1921,37.75,-107.04,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
19,3,5,3,2,7,3,1,-1,0,-1,0,0,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
0,1,2,1,0,1,2,18,56.1,6,2007,32.4861,-90.1675,2013,1970,1,1,1970,1,1,0,0,1,0,8,0
11,4,0,0,0,9,2,24,505,18,1912,41.17,-79.0731,2000,1970,1,1,1970,1,1,0,0,0,0,1,7
24,1,2,3,4,7,2,46,2800,191,1921,44.6434,-85.5095,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
11,4,0,1,15,1,3,15,-1,0,-1,41.5454,-75.3754,-1,1970,1,1,1970,1,1,0,0,1,1,1,6
6,1,1,6,0,0,2,59,20763,829,1975,30.7101,-96.4537,2012,1970,1,1,1970,1,1,0,1,1,1,1,0
4,1,0,7,16,21,2,45,708,68,1912,36.8078,-80.9386,1993,1970,1,1,1970,1,1,0,1,1,1,1,0
28,1,2,0,0,9,2,38,8035,4,2020,40.6394,-80.6786,-1,1970,1,1,1970,1,1,0,1,1,1,1,13
6,4,2,2,0,1,1,26,250,0,1936,30.0421,-97.1584,1993,1970,1,1,1970,1,1,0,1,1,1,1,0
29,3,5,3,2,7,3,1,-1,0,-1,0,0,-1,1970,1,1,1970,1,1,0,1,1,6,1,0
8,4,3,2,0,1,2,95,2650,0,1961,44.635,-101.897,1991,1970,1,1,1970,1,1,0,1,1,1,1,0
8,4,3,2,0,1,2,82,2850,0,1961,44.6217,-102.003,1991,1970,1,1,1970,1,1,0,1,1,1,1,0
11,1,6,0,0,13,2,44,383,20,1934,40.3478,-79.6056,-1,1970,1,1,1970,1,1,0,0,1,1,1,0
26,0,0,0,0,2,0,27,566.9,38,1935,48.2852,-101.455,1957,1970,1,1,1970,1,1,0,9,1,0,3,0
17,4,0,0,4,1,2,9,40,9,-1,39.5318,-75.0443,-1,1970,1,1,1970,1,1,0,0,1,0,1,0
28,4,0,0,0,1,2,9,447.9,18,1952,41.43,-81.18,-1,1970,1,1,1970,1,1,0,0,1,1,1,0
28,4,2,0,0,1,2,9,447.9,18,1952,41.4303,-81.1861,-1,1970,1,1,1970,1,1,0,0,0,0,1,13
14,0,0,3,0,8,0,21,1100,1,1933,41.7909,-99.131,-1,1970,1,1,1970,1,1,0,0,1,0,3,0
3,1,0,0,0,9,2,214,20400,222,1969,40.2171,-105.367,1990,1970,1,1,1970,1,1,0,1,1,1,1,0
4,1,0,7,16,21,2,63,2034,242,1912,36.7858,-80.9336,1993,1970,1,1,1970,1,1,0,1,1,1,1,0
6,4,5,0,0,1,1,20,584,0,1972,30.5039,-96.7656,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
6,4,5,0,0,1,1,20,584,0,1972,30.5039,-96.7656,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
6,4,5,0,0,1,1,20,584,0,1972,30.5039,-96.7656,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
6,4,5,0,0,1,1,20,584,0,1972,30.5039,-96.7656,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
6,3,2,3,0,7,3,21,43,0,-1,0,0,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
6,0,0,1,0,1,0,20,298.2,25,1961,30.9199,-96.5468,2006,1970,1,1,1970,1,1,0,1,1,1,1,0
6,1,0,1,0,1,2,14,13.1,0,-1,32.6819,-95.7145,-1,1970,1,1,1970,1,1,0,0,0,0,1,0
6,1,0,1,0,1,1,22,130,4,1957,30.8521,-95.2061,2007,1970,1,1,1970,1,1,0,0,0,0,1,0
6,4,0,1,9,1,2,12,25,3,1978,30.0679,-99.3349,2005,1970,1,1,1970,1,1,0,1,1,1,1,0
7,3,0,3,2,7,3,1,-1,0,-1,0,0,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
13,1,0,4,3,26,2,39,650,60,1890,43.8619,-71.6325,2004,1970,1,1,1970,1,1,0,9,1,0,3,0
4,1,0,0,0,1,2,13,162,11,-1,37.6024,-77.6062,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
4,1,6,0,0,1,2,13,162,11,-1,37.6024,-77.6062,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
6,1,3,0,0,1,2,18,220,17,1930,32.5584,-95.872,1984,1970,1,1,1970,1,1,0,1,1,1,1,0
6,0,5,1,0,9,0,18,137,12,1972,32.4586,-95.6248,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
6,0,5,1,0,9,0,18,137,12,1972,32.4586,-95.6248,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
8,3,0,3,0,7,3,20,-1,0,-1,0,0,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
27,0,3,1,0,1,0,27,380,34,1959,33.975,-84.13,-1,1970,1,1,1970,1,1,0,5,6,3,1,0
19,0,6,1,3,3,2,10,65,20,-1,43.489,-89.3564,-1,1970,1,1,1970,1,1,0,0,0,0,1,0
19,3,0,3,2,7,3,1,-1,0,-1,0,0,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
24,0,6,1,17,7,0,19,900,200,1928,43.4617,-83.4167,-1,1970,1,1,1970,1,1,0,0,1,0,1,0
28,4,0,1,0,1,1,25,41,4,1940,41.19,-81.83,-1,1970,1,1,1970,1,1,0,0,0,0,1,0
9,4,3,1,0,1,1,24,230,0,-1,35.3578,-79.2959,-1,1970,1,1,1970,1,1,0,0,1,0,2,0
11,0,0,1,18,27,3,12,-1,0,-1,41.42,-75.4518,-1,1970,1,1,1970,1,1,0,0,1,1,1,6
3,0,0,3,2,7,3,1,-1,0,-1,0,0,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
3,0,0,3,2,7,3,1,-1,0,-1,0,0,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
30,4,6,2,0,7,0,20,1848,110,1949,36.1003,-88.4847,-1,1970,1,1,1970,1,1,0,0,1,0,9,0
30,4,5,1,0,7,0,14,161,20,1988,35.1836,-89.7689,-1,1970,1,1,1970,1,1,0,0,1,0,10,0
6,0,0,1,0,7,0,15,334,56,1993,28.6057,-99.7697,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
16,4,2,1,6,1,2,20,58,5,1900,39.6167,-76.8883,1976,1970,1,1,1970,1,1,0,1,1,1,1,13
17,4,0,1,4,1,2,6,-1,14,-1,40.1107,-74.3889,-1,1970,1,1,1970,1,1,0,0,1,1,3,0
17,4,0,3,2,1,3,6,-1,0,-1,0,0,-1,1970,1,1,1970,1,1,0,0,1,1,2,0
6,4,0,6,0,13,2,31,760,15,1975,31.422,-97.1069,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
19,3,2,3,2,7,3,0,0,0,0,0,0,-1,1970,1,1,1970,1,1,0,0,0,0,1,0
17,0,0,3,2,7,3,1,-1,0,-1,0,0,-1,1970,1,1,1970,1,1,0,0,1,1,1,0
6,0,0,0,0,28,0,33,590,14,1965,32.4522,-96.0635,2010,1970,1,1,1970,1,1,0,0,1,0,1,0
6,0,0,0,0,28,0,29,831,21,1968,32.426,-96.0689,-1,1970,1,1,1970,1,1,0,0,1,1,1,0
6,1,0,0,0,28,2,43,20147,840,1969,32.7275,-96.1722,1969,1970,1,1,1970,1,1,0,1,1,1,1,0
6,1,0,0,0,13,2,25,205,13,1971,32.847,-96.3935,-1,1970,1,1,1970,1,1,0,0,0,0,1,0
3,0,0,1,0,29,0,37,50,3,1969,40.4614,-105.32,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
17,4,0,1,4,1,2,12,576,37,1942,39.525,-75.1699,-1,1970,1,1,1970,1,1,0,0,1,1,11,0
4,0,1,1,0,1,2,32,125,12,-1,37.7407,-77.1443,-1,1970,1,1,1970,1,1,0,5,6,1,1,0
6,1,5,0,0,8,1,15,2312,107,1912,29.2366,-98.8739,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
16,4,3,1,0,13,2,20,0,0,1981,39.1896,-77.2293,2015,1970,1,1,1970,1,1,0,1,1,1,1,0
25,4,0,1,0,2,1,17,80,9,1940,48.332,-119.998,1992,1970,1,1,1970,1,1,0,0,0,0,1,0
4,4,3,2,0,1,1,15,475,0,-1,38.0974,-76.8484,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
4,4,4,2,0,1,1,15,475,0,-1,38.0974,-76.8484,-1,1970,1,1,1970,1,1,0,5,6,0,1,0
4,4,0,2,0,1,1,15,475,0,-1,38.0974,-76.8484,-1,1970,1,1,1970,1,1,0,5,6,1,1,0
4,1,3,3,2,7,1,1,-1,0,-1,0,0,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
6,0,0,1,0,7,0,25,-1,0,1800,32.7257,-97.8913,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
22,0,4,1,0,15,0,16,500,50,1920,41.5823,-115.497,1963,1970,1,1,1970,1,1,0,0,0,0,12,0
16,3,5,3,2,7,3,1,-1,0,-1,0,0,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
3,1,2,0,6,9,2,100,1250,25,1996,39.8165,-105.53,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
1,4,0,1,0,1,2,17,53,7,1978,34.6732,-79.9104,-1,1970,1,1,1970,1,1,0,0,0,0,1,0
3,1,0,7,19,9,2,221,87227,874,1905,39.2083,-105.274,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
31,0,2,0,0,1,0,25,53000,3600,1943,32.4528,-92.1917,-1,1970,1,1,1970,1,1,0,0,0,0,13,2
27,1,0,1,0,1,2,33,34.4,2,1966,33.9951,-84.3639,-1,1970,1,1,1970,1,1,0,5,6,3,1,0
32,1,8,1,0,25,0,30,13900,480,1967,46.69,-67.8917,-1,1970,1,1,1970,1,1,0,0,0,0,1,0
6,0,0,0,0,1,0,31,673,64,1924,32.6839,-95.7361,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
30,3,2,3,2,7,3,1,-1,0,-1,0,0,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
18,0,0,1,20,30,0,23,875,89,1904,43.1185,-73.555,1990,1970,1,1,1970,1,1,0,1,1,1,1,0
33,0,0,1,21,0,0,14,21,3,0,44.3911,-72.331,-1,1970,1,1,1970,1,1,0,0,0,0,14,0
16,0,2,3,0,1,0,11,28,3,1960,38.2835,-76.5378,-1,1970,1,1,1970,1,1,0,0,0,0,1,14
26,1,0,0,0,5,2,52,1274.6,42,1967,46.6832,-98.0369,1968,1970,1,1,1970,1,1,0,0,1,0,1,0
27,1,0,0,0,1,1,19,106,13,1967,33.5253,-84.3128,2006,1970,1,1,1970,1,1,0,1,1,1,1,0
6,0,0,0,0,31,0,51,2750,20,1961,33.5346,-97.3762,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
6,0,0,0,0,13,0,37,3124,46,1965,33.4571,-97.3167,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
6,0,0,6,0,13,0,50,2824,34,1961,33.3941,-97.2742,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
11,4,5,0,10,1,2,11,782,118,1855,41.8247,-79.6856,2008,1970,1,1,1970,1,1,0,0,6,3,1,6
11,4,0,0,10,1,2,11,782,118,1855,41.8247,-79.6856,2008,1970,1,1,1970,1,1,0,0,0,0,1,7
6,1,0,1,0,1,1,19,350,25,1950,30.1127,-97.4648,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
17,0,0,0,0,7,0,1,-1,0,0,39.8364,-74.957,-1,1970,1,1,1970,1,1,0,0,0,0,1,1
6,0,0,1,0,27,0,25,520,37,1962,30.4391,-96.2221,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
28,1,3,1,0,0,2,47,191.9,8,2003,39.8861,-81.3214,-1,1970,1,1,1970,1,1,0,0,0,0,1,0
4,4,0,1,0,1,2,24,98,7,-1,38.0622,-78.5829,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
6,0,0,1,0,1,0,28,324,172,1966,32.2792,-95.4188,-1,1970,1,1,1970,1,1,0,0,1,0,1,0
6,4,2,1,0,2,2,29,269,23,1962,32.5386,-95.7741,2002,1970,1,1,1970,1,1,0,1,1,1,1,0
21,3,5,3,2,7,3,1,-1,0,-1,0,0,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
32,4,2,0,3,32,2,9,1590,403,1900,44.2397,-70.0377,1962,1970,1,1,1970,1,1,0,0,0,0,1,0
6,1,1,0,0,33,2,90,91680,1886,1966,32.0314,-99.4651,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
4,1,0,0,0,6,2,35,710.5,15,-1,37.4016,-79.184,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
1,4,6,0,18,25,2,8,800,265,1882,34.0333,-81.0665,-1,1970,1,1,1970,1,1,0,0,0,0,1,0
6,1,0,1,0,2,2,24,345,26,1905,32.9666,-96.8716,2017,1970,1,1,1970,1,1,0,0,0,0,1,0
15,1,2,7,0,10,0,24,62,3,1963,37.3542,-121.793,-1,1970,1,1,1970,1,1,0,0,1,0,1,0
6,1,0,0,0,8,1,22,1113,100,1955,30.8747,-102.878,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
6,1,0,0,0,1,2,19,520,22,1914,32.2249,-101.471,1988,1970,1,1,1970,1,1,0,1,1,1,1,0
0,2,0,1,0,1,0,25,350,0,-1,32.1482,-90.1664,-1,1970,1,1,1970,1,1,0,0,0,0,15,0
16,1,0,7,10,32,2,94,310000,8563,1928,39.661,-76.1735,1978,1970,1,1,1970,1,1,0,1,1,1,1,0
11,0,2,1,0,1,3,18,-1,0,1917,40.4725,-80.0621,-1,1970,1,1,1970,1,1,0,0,1,1,1,0
1,4,0,1,0,1,2,13,53,7,1963,34.1517,-80.775,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
