state,downstream_hazard_potential,incident_date,incident_driver,incident_mechanism_1,incident_mechanism_2,incident_mechanism_3,eap_enacted_y_n_due_to_incident,owner_type,dam_type,primary_purpose_s,eap,dam_height,max_storage_ac_ft,surface_area_acres,year_completed,latitude,longitude,year_modified,incident_time,incident_duration,incident_report_produced
MS,L,2/10/2020,Hydrologic/Flooding,Overtopping,-1,-1,N,P,RE,R,NR,12 ft,120.0,0,1955,32.758,-89.5672,-1,-1,-1,Y
CO,S,7/3/2011,Hydrologic/Flooding,Overtopping,Animal Activity,-1,No,-1,RE,R,-1,8 ft,-1.0,0,1930,40.0,106.0,-1,-1,-1,-1
NV,H,8/31/2021,Seismic,Other,Debris Clogging,-1,No,P,CNRE,CIR,Y,80 ft,28250.0,930,1912,41.2556,-114.913,-1,11:21,-1,No
SC,L,10/4/2015,Hydrologic/Flooding,Overtopping,-1,-1,-1,P,RE,PR,N,20 ft,165.0,10,1970,33.8417,-80.3283,-1,-1,-1,-1
WI,L,10/31/2023,Hydrologic/Flooding,Debris Clogging,-1,-1,Yes,L,CNPG,HR,NR,18 ft,6270.0,198,1912,44.2917,-90.8625,-1,-1,-1,-1
TX,L,1/1/1993,Unknown,Spillway Deficiency,-1,-1,-1,P,RE,R,NR,18 ft,137.0,12,1950,31.3741,-94.8517,-1,-1,-1,-1
SC,L,10/8/2016,Hydrologic/Flooding,Unknown,-1,-1,No,P,RE,R,N,16 ft,74.0,9,1960,34.045,-79.8183,-1,-1,1 Day,No
DE,H,8/28/2011,Hydrologic/Flooding,Erosion,-1,-1,No,S,REPG,RF,N,15 ft,611.0,48,-1,38.904,-75.4848,-1,-1,-1,-1
MI,L,10/7/2013,Deterioration or Poor Condition,Gate/Valve Failure,-1,-1,No,P,RE,R,NR,12 ft,300.0,13,1978,43.525,-85.075,-1,-1,-1,-1
MS,-1,2/10/2020,Seepage/Internal Erosion,Piping,-1,-1,N,P,RE,-1,-1,-1,-1.0,0,-1,0.0,0.0,-1,-1,1 day,Y
TX,L,3/30/2008,Hydrologic/Flooding,Overtopping,-1,-1,-1,P,RE,R,NR,12 ft,150.0,29,1890,31.5889,-94.1114,-1,-1,-1,-1
NY,H,8/28/2011,Hydrologic/Flooding,High Reservoir Level,-1,-1,Yes,S,RECNPG,HR,Y,165 ft,16330.0,430,1974,42.4538,-74.4555,-1,-1,-1,-1
NY,H,8/28/2011,Hydrologic/Flooding,High Reservoir Level,-1,-1,Yes,S,RE,HR,Y,170 ft,18500.0,355,1974,42.4451,-74.4384,-1,-1,-1,-1
NE,H,5/19/2016,Unknown,Spillway Erosion/Head Cutting,-1,-1,No,-1,RE,-1,-1,33 ft,0.0,0,1960,42.4599,-96.7315,-1,5:00 PM,20 hours,No
WA,S,4/13/2017,Hydrologic/Flooding,Insufficient Spillway Capacity,Overtopping,-1,No,P,RE,R,N,19 ft,36.0,4,1960,46.0947,-117.189,-1,-1,1 hour,Yes
WI,L,4/12/2013,Hydrologic/Flooding,Spillway Pipe Failure,-1,-1,Yes,S,RE,R,N,10 ft,900.0,158,1972,42.625,-88.1139,2015,-1,-1,-1
ND,S,5/1/2022,Hydrologic/Flooding,Spillway Erosion/Head Cutting,-1,-1,Yes,L,RE,C,Y,76 ft,1502.1,9,1957,48.7844,-97.9801,1984,-1,2 weeks,No
ND,S,5/21/2013,Hydrologic/Flooding,High Reservoir Level,-1,-1,Yes,L,RE,CF,N,76 ft,1502.1,9,1957,48.7844,-97.9801,1984,-1,-1,-1
VA,-1,8/6/2010,Structural Stability,Cracking,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,0,-1,0.0,0.0,-1,-1,-1,-1
GA,U,8/6/2010,Unknown,Unknown,-1,-1,No,P,RE,R,NR,10 ft,104.0,14,-1,31.4389,-83.4083,-1,-1,-1,-1
SC,L,10/8/2016,Hydrologic/Flooding,Unknown,-1,-1,No,P,RE,R,N,16 ft,70.0,7,1900,34.0367,-79.5383,-1,-1,1 Day,No
WA,-1,12/1/1918,Seepage/Internal Erosion,Excessive/Increased Seepage,-1,-1,No,-1,MS,-1,-1,-1,-1.0,0,-1,0.0,0.0,-1,-1,-1,-1
SC,L,10/4/2015,Hydrologic/Flooding,Overtopping,-1,-1,-1,P,RE,IPR,N,13 ft,68.0,75,1963,33.9183,-80.7567,-1,-1,-1,-1
TX,S,9/27/1996,Hydrologic/Flooding,Overtopping,-1,-1,-1,P,RE,IR,NR,15 ft,195.0,0,1976,30.7212,-94.4486,-1,-1,-1,-1
SC,L,10/4/2015,Hydrologic/Flooding,Overtopping,-1,-1,-1,P,RE,R,N,16 ft,55.0,160,1957,33.88,-80.4383,-1,-1,-1,-1
NJ,S,8/22/2012,Seepage/Internal Erosion,Piping,-1,-1,Yes,L,PGRE,R,Y,13 ft,152.0,22,1840,40.3098,-74.5166,-1,-1,-1,-1
MN,L,2/24/2015,Deterioration or Poor Condition,Spillway Pipe Failure,-1,-1,No,S,PGRE,O,NR,32 ft,450.0,30,1952,44.3358,-95.9214,1997,-1,2 years to complete failure,No
NY,S,8/28/2011,Hydrologic/Flooding,High Reservoir Level,-1,-1,No,-1,-1,R,N,18 ft,48.0,5,-1,41.4489,-73.9633,-1,-1,-1,-1
NE,L,6/12/2010,Hydrologic/Flooding,Overtopping,-1,-1,-1,-1,RE,-1,-1,26 ft,-1.0,0,-1,0.0,0.0,-1,-1,-1,-1
MI,-1,1/1/2008,Hydrologic/Flooding,Unknown,-1,-1,No,-1,-1,-1,-1,-1,-1.0,0,-1,0.0,0.0,-1,-1,-1,-1
MD,H,6/1/2020,Deterioration or Poor Condition,Cracking,Excessive/Increased Seepage,-1,Yes,L,CBER,HS,Y,82 ft,19560.0,800,1943,39.1934,-77.0055,-1,-1,-1,Yes
MD,H,9/28/2017,Manmade Action,Accident Or Misoperation,-1,-1,Yes,L,CBER,HS,Y,82 ft,19560.0,800,1943,39.1934,-77.0055,-1,-1,-1,-1
CO,L,7/4/2017,Deterioration or Poor Condition,Piping,Sinkhole,-1,No,P,RE,I,NR,15 ft,200.0,16,1921,37.75,-107.04,-1,-1,-1,No
WI,-1,7/23/1912,Unknown,Spillway Deficiency,-1,-1,No,-1,-1,-1,-1,-1,-1.0,0,-1,0.0,0.0,-1,-1,-1,-1
MS,H,6/10/2012,Seepage/Internal Erosion,Piping,Spillway Riser Failure,-1,No,P,RE,R,Y,18 ft,56.1,6,2007,32.4861,-90.1675,2013,-1,-1,-1
PA,S,7/17/2012,Hydrologic/Flooding,Overtopping,-1,-1,No,L,RE,S,Y,24 ft,505.0,18,1912,41.17,-79.0731,2000,12:00:00 AM,1 DAY,Yes
MI,H,10/8/2012,Seepage/Internal Erosion,Foundation Deficiency,-1,-1,-1,-1,PGRE,-1,Y,46 ft,2800.0,191,1921,44.6434,-85.5095,-1,-1,-1,-1
PA,S,6/26/2006,Hydrologic/Flooding,Overtopping,-1,-1,No,P,STMSRE,R,-1,15 ft,-1.0,0,-1,41.5454,-75.3754,-1,-1,3 DAYS,-1
TX,H,8/26/2015,Structural Stability,Slope Stability,-1,-1,-1,LP,RE,O,Y,59 ft,20763.0,829,1975,30.7101,-96.4537,2012,-1,-1,-1
VA,H,1/31/2013,Hydrologic/Flooding,Overtopping,-1,-1,Yes,U,PGCN,HR,Y,45 ft,708.0,68,1912,36.8078,-80.9386,1993,-1,-1,-1
OH,H,7/1/2021,Seepage/Internal Erosion,Excessive/Increased Seepage,-1,-1,No,L,RE,S,Y,38 ft,8035.0,4,2020,40.6394,-80.6786,-1,-1,6 months,Yes
TX,S,1/28/1991,Seepage/Internal Erosion,Piping,-1,-1,-1,S,RE,R,N,26 ft,250.0,0,1936,30.0421,-97.1584,1993,-1,-1,-1
WV,-1,2/26/1972,Unknown,Unknown,-1,-1,No,-1,-1,-1,-1,-1,-1.0,0,-1,0.0,0.0,-1,-1,-1,-1
SD,S,6/23/2014,Deterioration or Poor Condition,Spillway Pipe Failure,-1,-1,-1,S,RE,R,Y,95 ft,2650.0,0,1961,44.635,-101.897,1991,-1,-1,-1
SD,S,6/23/2014,Deterioration or Poor Condition,Spillway Pipe Failure,Piping,Sinkhole,-1,S,RE,R,Y,82 ft,2850.0,0,1961,44.6217,-102.003,1991,-1,-1,-1
PA,H,12/28/2007,Malfunction of Equipment/Gate,Debris Clogging,-1,-1,No,L,RE,C,Y,44 ft,383.0,20,1934,40.3478,-79.6056,-1,-1,-1,-1
ND,L,4/11/2011,Hydrologic/Flooding,Piping,-1,-1,No,L,RE,IR,NR,27 ft,566.9,38,1935,48.2852,-101.455,1957,-1,-1,-1
NJ,S,8/14/2011,Hydrologic/Flooding,Overtopping,-1,-1,No,L,PGRE,R,Y,9 ft,40.0,9,-1,39.5318,-75.0443,-1,-1,-1,-1
OH,S,2/28/2011,Hydrologic/Flooding,Overtopping,-1,-1,Yes,L,RE,R,Y,9 ft,447.9,18,1952,41.43,-81.18,-1,-1,-1,-1
OH,S,6/28/2018,Seepage/Internal Erosion,Piping,Spillway Chute Failure,-1,No,L,RE,R,Y,9 ft,447.9,18,1952,41.4303,-81.1861,-1,-1,6 months,No
NE,L,6/12/2010,Hydrologic/Flooding,Overtopping,-1,-1,No,-1,RE,I,NR,21 ft,1100.0,1,1933,41.7909,-99.131,-1,-1,-1,-1
CO,H,9/14/2013,Hydrologic/Flooding,Spillway Erosion/Head Cutting,-1,-1,-1,L,RE,S,Y,214 ft,20400.0,222,1969,40.2171,-105.367,1990,-1,-1,-1
VA,H,1/31/2013,Hydrologic/Flooding,Overtopping,-1,-1,Yes,U,PGCN,HR,Y,63 ft,2034.0,242,1912,36.7858,-80.9336,1993,-1,-1,-1
TX,S,3/27/1984,Unknown,Spillway Deficiency,-1,-1,-1,L,RE,R,N,20 ft,584.0,0,1972,30.5039,-96.7656,-1,-1,-1,-1
TX,S,4/25/1990,Unknown,Spillway Deficiency,-1,-1,-1,L,RE,R,N,20 ft,584.0,0,1972,30.5039,-96.7656,-1,-1,-1,-1
TX,S,10/17/1994,Unknown,Spillway Deficiency,-1,-1,-1,L,RE,R,N,20 ft,584.0,0,1972,30.5039,-96.7656,-1,-1,-1,-1
TX,S,12/1/1991,Unknown,Spillway Deficiency,-1,-1,-1,L,RE,R,N,20 ft,584.0,0,1972,30.5039,-96.7656,-1,-1,-1,-1
TX,-1,12/28/2018,Seepage/Internal Erosion,Piping,-1,-1,-1,-1,RE,-1,-1,21 ft,43.0,0,-1,0.0,0.0,-1,-1,-1,-1
TX,L,5/13/2004,Hydrologic/Flooding,Overtopping,-1,-1,-1,P,RE,R,NR,20 ft,298.2,25,1961,30.9199,-96.5468,2006,-1,-1,-1
TX,H,4/29/2024,Hydrologic/Flooding,Sliding,-1,-1,Unknown,P,RE,R,Y,14 ft,13.1,0,-1,32.6819,-95.7145,-1,-1,-1,Yes
TX,H,4/9/2024,Hydrologic/Flooding,Spillway Erosion/Head Cutting,-1,-1,Unknown,P,RE,R,N,22 ft,130.0,4,1957,30.8521,-95.2061,2007,-1,-1,Yes
TX,S,5/1/2000,Hydrologic/Flooding,Overtopping,-1,-1,-1,P,CNRE,R,Y,12 ft,25.0,3,1978,30.0679,-99.3349,2005,-1,-1,-1
IN,-1,6/1/2008,Hydrologic/Flooding,Overtopping,-1,-1,No,-1,-1,-1,-1,-1,-1.0,0,-1,0.0,0.0,-1,-1,-1,-1
NH,H,8/28/2011,Hydrologic/Flooding,Overtopping,-1,-1,Yes,F,CN,H,Y,39 ft,650.0,60,1890,43.8619,-71.6325,2004,12:00 AM,-1,-1
VA,H,5/18/2018,Hydrologic/Flooding,Overtopping,-1,-1,No,L,RE,R,Y,13 ft,162.0,11,-1,37.6024,-77.6062,-1,-1,-1,-1
VA,H,12/12/2018,Malfunction of Equipment/Gate,Accident Or Misoperation,Erosion,-1,No,L,RE,R,Y,13 ft,162.0,11,-1,37.6024,-77.6062,-1,-1,-1,-1
TX,H,12/3/1982,Deterioration or Poor Condition,Animal Activity,-1,-1,-1,L,RE,R,Y,18 ft,220.0,17,1930,32.5584,-95.872,1984,-1,-1,-1
TX,L,5/10/2019,Unknown,Unknown,-1,-1,-1,P,RE,S,NR,18 ft,137.0,12,1972,32.4586,-95.6248,-1,-1,-1,-1
TX,L,5/17/2018,Unknown,Unknown,-1,-1,-1,P,RE,S,NR,18 ft,137.0,12,1972,32.4586,-95.6248,-1,-1,-1,-1
SD,-1,1/1/1972,Hydrologic/Flooding,Overtopping,-1,-1,No,-1,RE,-1,-1,20 ft,-1.0,0,-1,0.0,0.0,-1,-1,-1,-1
GA,L,1/1/2019,Deterioration or Poor Condition,Spillway Pipe Failure,-1,-1,No,P,RE,R,NR,27 ft,380.0,34,1959,33.975,-84.13,-1,-1,-1,Yes
WI,L,4/28/2023,Malfunction of Equipment/Gate,Gate/Valve Failure,-1,-1,No,P,CN,F,Y,10 ft,65.0,20,-1,43.489,-89.3564,-1,-1,-1,-1
WI,-1,1/1/2008,Hydrologic/Flooding,Overtopping,-1,-1,No,-1,-1,-1,-1,-1,-1.0,0,-1,0.0,0.0,-1,-1,-1,-1
MI,L,4/14/2014,Malfunction of Equipment/Gate,Gate/Valve Failure,-1,-1,No,P,PG,-1,NR,19 ft,900.0,200,1928,43.4617,-83.4167,-1,-1,-1,-1
OH,S,5/1/2014,Hydrologic/Flooding,Overtopping,Spillway Erosion/Head Cutting,-1,No,P,RE,R,N,25 ft,41.0,4,1940,41.19,-81.83,-1,-1,-1,-1
NC,S,4/25/2011,Deterioration or Poor Condition,Spillway Riser Failure,-1,-1,Yes,P,RE,R,N,24 ft,230.0,0,-1,35.3578,-79.2959,-1,-1,-1,-1
PA,L,6/26/2006,Hydrologic/Flooding,Overtopping,Erosion,-1,-1,P,REST,P,-1,12 ft,-1.0,0,-1,41.42,-75.4518,-1,-1,3 DAYS,-1
CO,L,9/13/2013,Hydrologic/Flooding,Overtopping,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,0,-1,0.0,0.0,-1,-1,-1,-1
CO,L,9/19/2013,Hydrologic/Flooding,Overtopping,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,0,-1,0.0,0.0,-1,-1,-1,Yes
