state,downstream_hazard_potential,incident_type,incident_date,incident_driver,incident_mechanism_1,incident_mechanism_2,incident_mechanism_3,eap_enacted_y_n_due_to_incident,fatalities_number,number_of_people_evacuated,number_of_habitable_structures_evacuated,number_of_habitable_structures_flooded,other_infrastructure_impacts,economic_damages_in,response,volume_released_at_failure_ac_ft,owner_type,dam_type,primary_purpose_s,eap,dam_height,max_storage_ac_ft,surface_area_acres,year_completed,latitude,longitude,year_modified,incident_time,incident_duration,incident_report_produced
CO,S,Non-Failure,9/13/2013,Hydrologic/Flooding,Overtopping,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,P,RE,R,Y,23 ft,45.0,4,1974,39.6057,-104.874,-1,-1,-1,-1
TX,S,Non-Failure,8/29/2017,Hydrologic/Flooding,Overtopping,Animal Activity,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,P,RE,-1,N,16 ft,47.0,0,1800,30.7896,-95.5282,-1,-1,-1,-1
TX,L,Non-Failure,8/29/2017,Hydrologic/Flooding,Sliding,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,P,RE,I,NR,7 ft,1330.0,0,1960,26.3531,-97.4907,-1,-1,-1,-1
NC,H,Failure,10/8/2016,Hydrologic/Flooding,Overtopping,-1,-1,No,0,-1,0,-1,-1,$1 million to $5 million,-1,-1,L,RE,R,N,21 ft,144.0,0,-1,35.029,-78.981,-1,-1,1 day,-1
PA,H,Failure,4/26/1994,Seepage/Internal Erosion,Piping,-1,-1,No,0,0,0,0,-1,"$100,000 to $500,000",COFFERDAM CONSTRUCTED; A 20' BOTTOM WIDTH BREACH CHANNEL EXCAVATED TO DRAIN BY MAY 11,-1,P,RE,R,Y,18 ft,2344.0,218,1954,41.1536,-75.5775,2002,-1,-1,-1
MA,-1,Failure,1/7/1909,Seepage/Internal Erosion,Piping,-1,-1,No,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,0,-1,0.0,0.0,-1,-1,-1,-1
NH,S,Non-Failure,7/30/2021,Hydrologic/Flooding,High Reservoir Level,-1,-1,Yes,0,1,0,0,-1,Unknown,-1,-1,L,RE,R,Y,13 ft,3588.0,360,1872,43.1507,-72.1569,1925,-1,1 day,-1
CO,S,Non-Failure,9/20/2013,Hydrologic/Flooding,Overtopping,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,0,-1,0.0,0.0,-1,-1,-1,-1
TX,L,Non-Failure,5/11/2015,Hydrologic/Flooding,Overtopping,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,P,RE,R,NR,28 ft,1419.0,100,1920,32.2346,-95.7774,-1,-1,-1,-1
NE,L,Non-Failure,6/12/2010,Hydrologic/Flooding,Overtopping,-1,-1,No,-1,0,-1,0,-1,-1,-1,0,L,RE,R,NR,13 ft,360.0,19,1992,42.5379,-99.0005,-1,-1,-1,-1
CA,H,Non-Failure,4/2/2018,Hydrologic/Flooding,Insufficient Spillway Capacity,Overtopping,-1,No,0,0,0,0,-1,-1,Response hindered as this was an illegal dam previously unknown to the Division of Safety of Dams until days after the event.,-1,P,RE,S,N,17 ft,94.0,8,0,37.0676,-119.49,-1,-1,1 day,Yes
PA,S,Failure,3/5/2018,Hydrologic/Flooding,Overtopping,Erosion,-1,No,0,0,-1,-1,-1,-1,OWNER NOW AGREES TO REMOVE DAM & WILL BE ISSUED EMERGENCY PERMIT WITH SPECIFIED BREACH SIZE,-1,P,RE,R,N,14 ft,10.0,0,-1,39.9511,-80.1628,-1,-1,-1,-1
TX,-1,Failure,4/6/1900,Structural Stability,Slope Stability,-1,-1,No,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,0,-1,0.0,0.0,-1,-1,-1,-1
TX,H,Non-Failure,5/2/2024,Hydrologic/Flooding,Spillway Erosion/Head Cutting,-1,-1,Yes,-1,-1,-1,-1,Roads/Bridges,Unknown,"Owner contacted local EMC when water was within 5-ft of the crest, residents downstream evacuated",-1,P,RE,R,N,20 ft,56.0,7,-1,30.6786,-95.5375,-1,-1,-1,Yes
CA,-1,Failure,12/14/1963,Seepage/Internal Erosion,Piping,-1,-1,No,5,16500,-1,-1,-1,-1,-1,-1,-1,RE,-1,-1,232 ft,-1.0,0,-1,0.0,0.0,-1,-1,-1,-1
CO,L,Failure,4/29/2015,Seepage/Internal Erosion,Piping,Vegetation,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,S,RE,FR,NR,13 ft,112.0,16,1960,40.0784,-104.564,2002,-1,-1,-1
VA,-1,Failure,6/21/1972,Hydrologic/Flooding,Overtopping,-1,-1,No,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,0,-1,0.0,0.0,-1,-1,-1,-1
CO,H,Non-Failure,9/13/2013,Hydrologic/Flooding,High Reservoir Level,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,L,RE,IS,Y,50 ft,3005.0,108,1923,40.6,-105.836,-1,-1,-1,-1
TX,L,Non-Failure,5/8/1986,Seepage/Internal Erosion,Piping,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,P,RE,O,NR,20 ft,11400.0,0,1973,27.6267,-97.3483,-1,-1,-1,-1
MD,L,Failure,7/14/2016,Malfunction of Equipment/Gate,Gate/Valve Failure,Overtopping,-1,No,-1,-1,-1,-1,-1,-1,-1,-1,P,RE,R,NR,9 ft,90.0,14,-1,38.4617,-75.735,1979,-1,-1,-1
NJ,L,Non-Failure,8/1/2011,Seepage/Internal Erosion,Piping,-1,-1,No,-1,0,-1,0,Unknown,Unknown,-1,-1,P,PGRE,R,N,15 ft,59.0,20,1955,41.1969,-74.4412,-1,12:00 AM,-1,-1
TX,L,Non-Failure,6/13/1973,Hydrologic/Flooding,Overtopping,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,P,RE,R,NR,20 ft,214.0,8,1955,30.3715,-95.3387,-1,-1,-1,-1
NY,S,Non-Failure,5/6/2018,Seepage/Internal Erosion,Cracking,Excessive/Increased Seepage,Sinkhole,Yes,0,0,0,0,-1,-1,The seepage was repaired using additional cutoffs and relief drains and the sink hole was repaired.,-1,P,CNOT,OR,Y,17 ft,70924.0,5066,1915,44.2506,-74.2942,-1,-1,3 days,Yes
NY,L,Non-Failure,8/28/2011,Hydrologic/Flooding,Overtopping,-1,-1,No,-1,-1,-1,-1,-1,-1,-1,-1,L,RE,S,N,14 ft,1447.0,70,1918,44.1,-73.5117,-1,-1,-1,-1
CO,H,Non-Failure,9/12/2013,Hydrologic/Flooding,Unknown,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,P,RE,IS,Y,44 ft,6592.0,270,1905,39.9986,-105.198,-1,-1,-1,-1
CO,H,Non-Failure,9/12/2013,Structural Stability,Slope Stability,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,P,RE,IS,Y,20 ft,6592.0,270,1905,40.0028,-105.206,-1,-1,-1,-1
TX,L,Failure,8/17/1984,Unknown,Unknown,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,P,RE,T,NR,30 ft,750.0,35,1974,32.0011,-95.9015,1986,-1,-1,-1
TX,L,Failure,5/23/2015,Hydrologic/Flooding,Overtopping,-1,-1,-1,0,0,0,0,-1,-1,-1,-1,S,RE,R,NR,18 ft,110.0,0,1913,30.1124,-97.277,1935,-1,-1,Yes
NY,H,Non-Failure,8/28/2011,Hydrologic/Flooding,Spillway Erosion/Head Cutting,-1,-1,No,-1,-1,-1,-1,-1,-1,-1,-1,L,RE,C,Y,74 ft,1415.0,5,1970,42.3211,-74.2325,-1,-1,-1,-1
NY,H,Non-Failure,8/28/2011,Hydrologic/Flooding,Spillway Erosion/Head Cutting,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,L,RE,C,Y,77 ft,2928.0,10,1967,42.3322,-74.2478,2013,-1,-1,-1
TX,L,Non-Failure,5/10/2009,Deterioration or Poor Condition,Spillway Riser Failure,-1,-1,No,-1,0,-1,0,-1,-1,-1,-1,L,RE,IR,NR,32 ft,916.0,30,1908,31.548,-96.901,-1,-1,-1,-1
SC,S,Failure,9/16/2018,Hydrologic/Flooding,Overtopping,Erosion,-1,No,0,0,0,0,-1,-1,State Dam Safety Program performed a full inspection following the breach of this dam.  The inspection report will contain a requirement that the Owner hire an engineer and submit either a permit application for repair or removal of the dam.,-1,P,RE,R,Y,7 ft,141.0,22,1953,34.1114,-79.3352,-1,-1,-1,-1
SC,S,Non-Failure,10/8/2016,Hydrologic/Flooding,Unknown,-1,-1,No,0,0,0,0,-1,-1,-1,-1,P,RE,R,Y,13 ft,141.0,22,1953,34.1117,-79.335,-1,-1,3 Days,No
PA,-1,Failure,9/30/1911,Unknown,Unknown,-1,-1,No,88,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,0,-1,0.0,0.0,-1,-1,-1,-1
TX,H,Non-Failure,1/1/1989,Hydrologic/Flooding,Overtopping,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,P,RE,R,N,27 ft,3207.0,0,1964,30.4819,-94.7734,-1,-1,-1,-1
TX,H,Non-Failure,6/26/1986,Hydrologic/Flooding,Overtopping,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,P,RE,R,N,27 ft,3207.0,0,1964,30.4819,-94.7734,-1,-1,-1,-1
TX,H,Non-Failure,10/17/1994,Unknown,Spillway Erosion/Head Cutting,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,P,RE,R,N,27 ft,3207.0,0,1964,30.4819,-94.7734,-1,-1,-1,-1
VA,S,Non-Failure,8/6/2014,Hydrologic/Flooding,Overtopping,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,P,-1,-1,N,33 ft,139.0,0,-1,37.5078,-77.5312,-1,-1,-1,-1
VA,H,Non-Failure,5/21/2018,Hydrologic/Flooding,Spillway Chute Failure,-1,-1,No,0,-1,-1,-1,-1,-1,-1,-1,L,RE,S,Y,71 ft,6603.0,206,-1,36.7433,-79.875,-1,-1,-1,-1
CO,H,Non-Failure,3/18/2016,Seepage/Internal Erosion,Sinkhole,-1,-1,Yes,-1,-1,-1,-1,-1,-1,-1,-1,S,ER,RFIO,Y,114 ft,5800.0,94,1912,37.5961,-106.667,-1,-1,-1,-1
WI,S,Non-Failure,8/23/2019,Malfunction of Equipment/Gate,Other,-1,-1,Yes,0,0,0,0,-1,-1,Activated EAP by keeping necessary parties informed and implemented monitoring procedures.,-1,S,PGRE,R,Y,21 ft,800.0,73,1965,42.5819,-89.7745,-1,-1,3 days,No
IA,S,Non-Failure,10/11/2018,Deterioration or Poor Condition,Piping,Erosion,Spillway Pipe Failure,No,0,0,0,0,-1,-1,-1,-1,L,RE,S,NR,44 ft,598.0,30,1969,40.6822,-94.7127,-1,-1,-1,-1
IA,S,Non-Failure,10/11/2018,Deterioration or Poor Condition,Spillway Pipe Failure,Piping,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,L,RE,S,NR,44 ft,598.0,30,1969,40.6822,-94.7127,-1,-1,-1,-1
WI,L,Non-Failure,8/20/2018,Hydrologic/Flooding,Erosion,Excessive/Increased Seepage,-1,Yes,-1,Unknown,8,Unknown,Bridges,-1,-1,-1,L,PGRE,R,Y,15 ft,260.0,112,1860,42.8605,-89.5358,1918,-1,-1,Unknown
CO,S,Non-Failure,5/1/2017,Deterioration or Poor Condition,Piping,Sinkhole,-1,No,-1,-1,-1,-1,-1,-1,-1,-1,P,RE,IP,Y,30 ft,647.0,30,1912,37.8136,-108.353,-1,-1,-1,No
NY,S,Non-Failure,8/28/2011,Hydrologic/Flooding,Overtopping,-1,-1,No,-1,-1,-1,-1,-1,-1,-1,-1,P,OTRE,R,N,20 ft,210.0,26,1900,42.745,-74.7603,-1,-1,-1,-1
NC,H,Failure,10/8/2016,Hydrologic/Flooding,Overtopping,-1,-1,No,-1,-1,-1,-1,-1,"$500,000 to $1 million",-1,-1,X,RE,F,N,6 ft,-1.0,0,-1,35.0773,-77.9099,-1,-1,1 day,-1
MS,L,Non-Failure,2/28/2020,Hydrologic/Flooding,Overtopping,Insufficient Spillway Capacity,-1,Y,0,0,0,0,0,0,Collum contacted the Tombigbee River Valley Water Management District about repairs as they had previously repaired the structure.,-1,P,RE,R,N,17 ft,98.0,7,-1,34.1555,-88.4259,-1,-1,-1,Y
KY,L,Non-Failure,6/17/2018,Seepage/Internal Erosion,Piping,-1,-1,-1,0,0,0,0,-1,-1,-1,-1,S,RE,R,Y,70 ft,218.0,9,1971,38.8845,-84.7429,-1,-1,-1,Yes
TX,H,Non-Failure,12/27/2015,Hydrologic/Flooding,Erosion,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,L,RE,S,N,38 ft,6625.0,15,1987,33.3924,-95.6941,2001,-1,-1,-1
PA,S,Non-Failure,3/28/2011,Seepage/Internal Erosion,Excessive/Increased Seepage,-1,-1,No,0,0,0,-1,-1,-1,DEPRESSION AREA ISOLATED BY COFFER DAM AND BACKFILLED WITH CONCRETE AS A TEMPORARY REPAIR.,-1,P,MSREST,RS,Y,12 ft,740.0,79,1860,41.7528,-75.9547,2006,-1,2 DAYS,-1
PA,S,Non-Failure,6/26/2006,Hydrologic/Flooding,Overtopping,Erosion,-1,Yes,0,15,6,0,-1,-1,AN EMERGENCY PERMIT WAS ISSUED TO REPAIR THE DAM.,-1,P,MSREST,RS,Y,12 ft,740.0,79,1860,41.7528,-75.9547,2006,-1,3 DAYS,-1
PA,S,Non-Failure,9/8/2011,Hydrologic/Flooding,High Reservoir Level,-1,-1,Yes,0,15,6,0,-1,-1,A DETAILED BREACH ANALYSIS IN 2016 USING LIDAR SHOWED DOWNSTREAM HOMES ARE NOT IMPACTED BY A DAM FAILURE.,-1,P,MSREST,RS,Y,12 ft,740.0,79,1860,41.7528,-75.9547,2006,-1,1 DAY,-1
TX,S,Non-Failure,9/27/1996,Hydrologic/Flooding,Overtopping,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,P,RE,ISR,Y,21 ft,357.0,22,1949,30.6938,-94.423,1997,-1,-1,-1
MD,L,Failure,9/30/2016,Hydrologic/Flooding,Unknown,-1,-1,No,-1,-1,-1,-1,-1,-1,-1,-1,L,RE,RFP,NR,9 ft,72.0,60,1900,38.0156,-75.4561,-1,-1,-1,-1
MS,L,Non-Failure,2/10/2020,Hydrologic/Flooding,Overtopping,-1,-1,N,0,0,0,0,0,0,Owner had contractor cut a new spillway over natural ground to help drain and prevent failure.,-1,P,RE,R,NR,12 ft,120.0,0,1955,32.758,-89.5672,-1,-1,-1,Y
CO,S,Non-Failure,7/3/2011,Hydrologic/Flooding,Overtopping,Animal Activity,-1,No,-1,0,-1,0,-1,-1,-1,-1,-1,RE,R,-1,8 ft,-1.0,0,1930,40.0,106.0,-1,-1,-1,-1
NV,H,Non-Failure,8/31/2021,Seismic,Other,Debris Clogging,-1,No,-1,-1,-1,-1,-1,-1,State employees made a site visit the following day (9/1) to investigate dam.,-1,P,CNRE,CIR,Y,80 ft,28250.0,930,1912,41.2556,-114.913,-1,11:21,-1,No
SC,L,Failure,10/4/2015,Hydrologic/Flooding,Overtopping,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,P,RE,PR,N,20 ft,165.0,10,1970,33.8417,-80.3283,-1,-1,-1,-1
WI,L,Non-Failure,10/31/2023,Hydrologic/Flooding,Debris Clogging,-1,-1,Yes,-1,0,0,0,-1,"$1 to $100,000",-1,-1,L,CNPG,HR,NR,18 ft,6270.0,198,1912,44.2917,-90.8625,-1,-1,-1,-1
TX,L,Non-Failure,1/1/1993,Unknown,Spillway Deficiency,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,P,RE,R,NR,18 ft,137.0,12,1950,31.3741,-94.8517,-1,-1,-1,-1
SC,L,Failure,10/8/2016,Hydrologic/Flooding,Unknown,-1,-1,No,0,0,0,0,-1,-1,-1,-1,P,RE,R,N,16 ft,74.0,9,1960,34.045,-79.8183,-1,-1,1 Day,No
DE,H,Non-Failure,8/28/2011,Hydrologic/Flooding,Erosion,-1,-1,No,-1,0,-1,0,-1,-1,-1,0,S,REPG,RF,N,15 ft,611.0,48,-1,38.904,-75.4848,-1,-1,-1,-1
MI,L,Non-Failure,10/7/2013,Deterioration or Poor Condition,Gate/Valve Failure,-1,-1,No,-1,0,-1,0,-1,-1,-1,-1,P,RE,R,NR,12 ft,300.0,13,1978,43.525,-85.075,-1,-1,-1,-1
MS,-1,Failure,2/10/2020,Seepage/Internal Erosion,Piping,-1,-1,N,0,0,0,0,0,0,Worked with EMA and responders to plug the piping failure until permanent repairs could be made.,-1,P,RE,-1,-1,-1,-1.0,0,-1,0.0,0.0,-1,-1,1 day,Y
TX,L,Non-Failure,3/30/2008,Hydrologic/Flooding,Overtopping,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,P,RE,R,NR,12 ft,150.0,29,1890,31.5889,-94.1114,-1,-1,-1,-1
NY,H,Non-Failure,8/28/2011,Hydrologic/Flooding,High Reservoir Level,-1,-1,Yes,-1,-1,-1,-1,-1,-1,-1,-1,S,RECNPG,HR,Y,165 ft,16330.0,430,1974,42.4538,-74.4555,-1,-1,-1,-1
NY,H,Non-Failure,8/28/2011,Hydrologic/Flooding,High Reservoir Level,-1,-1,Yes,-1,-1,-1,-1,-1,-1,-1,-1,S,RE,HR,Y,170 ft,18500.0,355,1974,42.4451,-74.4384,-1,-1,-1,-1
NE,H,Failure,5/19/2016,Unknown,Spillway Erosion/Head Cutting,-1,-1,No,0,6,2,0,Railroads,-1,-1,18,-1,RE,-1,-1,33 ft,0.0,0,1960,42.4599,-96.7315,-1,5:00 PM,20 hours,No
WA,S,Failure,4/13/2017,Hydrologic/Flooding,Insufficient Spillway Capacity,Overtopping,-1,No,0,0,0,1,"Roads, Bridges",$10 million to $25 million,-1,29,P,RE,R,N,19 ft,36.0,4,1960,46.0947,-117.189,-1,-1,1 hour,Yes
WI,L,Non-Failure,4/12/2013,Hydrologic/Flooding,Spillway Pipe Failure,-1,-1,Yes,-1,0,-1,0,Roads,-1,-1,0,S,RE,R,N,10 ft,900.0,158,1972,42.625,-88.1139,2015,-1,-1,-1
ND,S,Non-Failure,5/1/2022,Hydrologic/Flooding,Spillway Erosion/Head Cutting,-1,-1,Yes,-1,Unknown,Unknown,0,Roads,Unknown,Work was done to lower the reservoir and to try to stabilize the headcut.,-1,L,RE,C,Y,76 ft,1502.1,9,1957,48.7844,-97.9801,1984,-1,2 weeks,No
ND,S,Non-Failure,5/21/2013,Hydrologic/Flooding,High Reservoir Level,-1,-1,Yes,-1,0,-1,0,-1,-1,-1,-1,L,RE,CF,N,76 ft,1502.1,9,1957,48.7844,-97.9801,1984,-1,-1,-1
VA,-1,Failure,8/6/2010,Structural Stability,Cracking,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,0,-1,0.0,0.0,-1,-1,-1,-1
GA,U,Non-Failure,8/6/2010,Unknown,Unknown,-1,-1,No,-1,-1,-1,-1,-1,-1,-1,-1,P,RE,R,NR,10 ft,104.0,14,-1,31.4389,-83.4083,-1,-1,-1,-1
SC,L,Failure,10/8/2016,Hydrologic/Flooding,Unknown,-1,-1,No,0,0,0,0,-1,-1,-1,-1,P,RE,R,N,16 ft,70.0,7,1900,34.0367,-79.5383,-1,-1,1 Day,No
WA,-1,Failure,12/1/1918,Seepage/Internal Erosion,Excessive/Increased Seepage,-1,-1,No,-1,-1,-1,-1,-1,-1,-1,-1,-1,MS,-1,-1,-1,-1.0,0,-1,0.0,0.0,-1,-1,-1,-1
SC,L,Failure,10/4/2015,Hydrologic/Flooding,Overtopping,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,P,RE,IPR,N,13 ft,68.0,75,1963,33.9183,-80.7567,-1,-1,-1,-1
TX,S,Non-Failure,9/27/1996,Hydrologic/Flooding,Overtopping,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,P,RE,IR,NR,15 ft,195.0,0,1976,30.7212,-94.4486,-1,-1,-1,-1
SC,L,Failure,10/4/2015,Hydrologic/Flooding,Overtopping,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,P,RE,R,N,16 ft,55.0,160,1957,33.88,-80.4383,-1,-1,-1,-1
NJ,S,Non-Failure,8/22/2012,Seepage/Internal Erosion,Piping,-1,-1,Yes,-1,0,-1,0,-1,-1,-1,-1,L,PGRE,R,Y,13 ft,152.0,22,1840,40.3098,-74.5166,-1,-1,-1,-1
MN,L,Failure,2/24/2015,Deterioration or Poor Condition,Spillway Pipe Failure,-1,-1,No,0,0,0,0,-1,Unknown,DNR owned Dam.  Operators notified DNR Dam Safety quickly.,400,S,PGRE,O,NR,32 ft,450.0,30,1952,44.3358,-95.9214,1997,-1,2 years to complete failure,No
NY,S,Non-Failure,8/28/2011,Hydrologic/Flooding,High Reservoir Level,-1,-1,No,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,R,N,18 ft,48.0,5,-1,41.4489,-73.9633,-1,-1,-1,-1
NE,L,Failure,6/12/2010,Hydrologic/Flooding,Overtopping,-1,-1,-1,-1,339,-1,85,Water/sewer lines,-1,-1,600,-1,RE,-1,-1,26 ft,-1.0,0,-1,0.0,0.0,-1,-1,-1,-1
MI,-1,Failure,1/1/2008,Hydrologic/Flooding,Unknown,-1,-1,No,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,0,-1,0.0,0.0,-1,-1,-1,-1
MD,H,Non-Failure,6/1/2020,Deterioration or Poor Condition,Cracking,Excessive/Increased Seepage,-1,Yes,0,0,0,0,-1,Unknown,-1,-1,L,CBER,HS,Y,82 ft,19560.0,800,1943,39.1934,-77.0055,-1,-1,-1,Yes
MD,H,Non-Failure,9/28/2017,Manmade Action,Accident Or Misoperation,-1,-1,Yes,-1,-1,-1,-1,-1,-1,"Structural Analysis interim stability, lower pool",-1,L,CBER,HS,Y,82 ft,19560.0,800,1943,39.1934,-77.0055,-1,-1,-1,-1
