dam_name,incident_id,incident_description,named_hydrologic_event,additional_remarks_or_updates,nid_number,river_name,regulatory_agency_ies,information_sources,attachments
ALBRITTON LAKE DAM,MS03326-2954,-1,-1,-1,MS03326,TR. MILL CREEK,MS Dept. of Environmental Quality,MS DEQ,-1
ALBRITTON LAKE DAM,MS03326-3474,"Conduit became clogged. Caused dam to overtop, eroding downstream slope around the outlet.",-1,-1,MS03326,UNT OF MILL CREEK,MS DEPARTMENT OF ENVIRONMENTAL QUALITY,MDEQ Dam Safety,-1
ALLEN LAKE DAM,VA029050-3299,"Loss of emergency spillway , loss of lake volume.",-1,-1,VA029050,-1,DEPARTMENT OF CONSERVATION AND RECREATION,VA DCR,-1
ALLENDALE LAKE DAM,IN03121-1602,"A sinkhole in the embankment developed over the principal spillway pipe.  After the pipe was camera inspected, the engineer determined that the metal pipe needed to be replaced immediately",-1,The owner has been keeping the lake level below the pipe inlet.,IN03121,UNNAMED TRIBUTARY BUCKHART CREEK,IDNR,-1,-1
ALVIN,SD00029-3414,Multiple high flow events in 2019 damaged primary spillway with portion of spillway wall collapsing and caused embankment sloughing adjacent to primary spillway and stilling basin.,-1,"County road downstream of dam was closed for several days in May 2019. Downstream highway culverts have limited capacity so during high flow event water backs up in the stilling basin, primary spillway, and against embankment area adjacent to primary spillway and stilling basin.",SD00029,NINE MILE CREEK,DENR,SD Dam Safety,-1
AMANDA LAKE DAM,TX03774-2910,"OVERTOPPING, BREACHED",-1,-1,TX03774,TR-WOLF CREEK,TCEQ,-1,-1
ANDERSON-RAINES DAM,TX07259-2721,"S.S. FAILED, DID NOT BREACH",-1,-1,TX07259,TR-DRY HOLLOW,TCEQ,TX DEQ,-1
ANSON-025,NC00000-174,-1,-1,"heavy rains, failure",NC00000,-1,-1,-1,-1
ANSONIA BRASS & COPPER CO.,CT00000-201,-1,-1,-1,CT00000,-1,-1,-1,-1
ANZALDUAS DIVERSION,TX07036-2822,GATE FAILURE,-1,-1,TX07036,RIO GRANDE,N,TX DEQ,-1
ARAPAHOE LAKE,CO02089-2061,reported overtopping; Colorado Flooding of 9-13,-1,-1,CO02089,GOLDSMITH GULCH,DWR,-1,-1
ARMADILLO DRIVE LAKE DAM,TX07087-2932,"OVERTOPPED, BEAVER HOLES.  DID NOT BREACH",Harvey,-1,TX07087,-1,TCEQ,TX DEQ,-1
ARMENDAIZ LEVEE,TX01818-3151,SLIDES,Harvey,-1,TX01818,OFF CH-NORTH FLOODWAY,TCEQ,TX CEQ,-1
ARRAN LAKES DAM,NC01144-2968,breached - roadway collapsed,Matthew,-1,NC01144,LITTLE BEAVER CREEK,NCDENR,NCDEQ,-1
ARROWHEAD LAKE,PA00780-3220,"A ""BLOWOUT"" UNDER THE CENTER OF OGEE WEIR WITH RELEASE OF A LARGE VOLUME OF WATER",-1,HOLE UNDER WEIR MEASURED 20' WIDE & 4' DEEP.  REHAB PROJECT COMPLETE ON 7/27/2004.,PA00780,TROUT CREEK,PENNSYLVANIA DEPARTMENT OF ENVIRONMENTAL PROTECTION,PA Dam Safety,-1
ASHLEY,MA00000-114,-1,-1,Piping during first filling,MA00000,-1,-1,-1,-1
ASHUELOT POND DAM,NH00237-3443,Heavy rainfall resulted in water levels at the top of the dam.,-1,Dam was almost overopped,NH00237,ASHUELOT RIVER,NHDES DAM BUREAU,NHDES DAM BUREAU,-1
ASPEN LODGE RESORT AND SPA,CO00000-2126,"overtopped, debris flow plugged spillway, outlet inoperable, emergency breach - Colorado Flooding of 9-13",-1,-1,CO00000,-1,-1,-1,-1
ATHENS FISH AND GAME CLUB LAKE DAM,TX00220-2710,"OVERTOPPING, DID NOT BREACH",-1,-1,TX00220,FLAT CREEK,TCEQ,TX DEQ,-1
ATKINSON DAM RECONSTR,NE00410-1224,The dam was overtopped but did not fail.  The dam was rebuilt in 1992 after it breached through the emer spwy.,-1,-1,NE00410,ELKHORN RIVER,NE DNR,-1,-1
AUBERRY LUMBER MILL,CA10403-3258,"The dam overtopped due to spillway pipes being clogged with overgrown vegetation. Overtopping eroded the downstream slope, which could have potentially led to failure. There is no low-level outlet at this dam.",-1,-1,CA10403,LITTLE SANDY CREEK,CA DWR,CA DSOD,-1
AUGUSTINE,PA01909-3187,OVERTOPPING ERODED 2 TO 3 FEET IN TOP OF EMBANKMENT AND ON DOWNSTREAM SLOPE.,-1,DAM DAMAGED BY FLOODING IN 2003-4 & OWNER ORDERED TO DRAIN & BREACH.  DAMAGES WERE REPAIRED.,PA01909,TR JERSEY RUN,PENNSYLVANIA DEPARTMENT OF ENVIRONMENTAL PROTECTION,PA Dam Safety,-1
AUSTIN,TX00000-105,-1,-1,Fatalities: 7 - Seven to 10 people were killed while watching the flood from a hydroelectric powerhouse atop the dam.  Tom Miller Dam now at site.,TX00000,-1,-1,-1,-1
BALDWIN DAM,TX07084-3604,Spring rains caused erosion in the spillway and overtopped/failed a downstream road,"Texas Severe Storms, Straight-line Winds, Tornadoes, and Flooding (DR-4781-TX)","Road immediately downstream of the dam washed out, TCEQ inspected; spillway is likely undersized; dam owner has not been able to find a PE to work with him.",TX07084,PRAIRIE BRANCH,TCEQ,TCEQ,-1
BALDWIN HILLS,CA00000-209,-1,-1,"Destroyed 65 houses; miles of streets, waterpipes, sewers & gas lines, damaged hundreds of houses & apartments. Water supply for Los Angeles. 232 high, 650 long dam. Impoundment: 20 acres, 70 deep  Fatalities: 5 - Advance warning enabled evac of approx 16,500; 27 injured",CA00000,-1,-1,-1,-1
BANNER LAKE #5,CO01730-3016,Piping failure without full dam breach.  Likely root induced.,-1,-1,CO01730,JIM CREEK,DWR,CO DWR,-1
BARCROFT,VA00000-129,-1,-1,Stuck gates during tropical storm Agnes.,VA00000,-1,-1,-1,-1
BARNES MEADOW,CO00123-2083,"Report of failing, only spillway flows - Colorado Flooding of 9-13",-1,-1,CO00123,JOE WRIGHT CREEK-TR,DWR,-1,-1
BARNEY M DAVIS COOLING RESERVOIR,TX01551-2793,PIPING,-1,-1,TX01551,OFF CH-OSO CREEK,TCEQ,TX DEQ,-1
BARREN MILL DAM,MD00121-3076,Heavy rain overnight in watershed combined with inability to operate millrace gates resulted in overtopping failure.,-1,-1,MD00121,BARON CREEK,MD DAM SAFETY,MDE Dam Safety Program,-1
BARRY LAKES #1 DAM,NJ00509-1164,Water flowing along outlet pipe/settlement along outlet pipe,-1,-1,NJ00509,WAWAYANDA CREEK-TR,NJDEP,-1,-1
BART LAKE DAM,TX00121-2819,OVERTOPPED,-1,-1,TX00121,MCRAE CREEK,N,TX DEQ,-1
BARTLETT CARRY DAM,NY00011-3277,Leakage through the dam through the concrete on the upstream face of the spillway and through the porous core in the abutment wall caused excessive seepage which caused a sink hole.,-1,-1,NY00011,SARANAC RIVER,NYS DEC,NY Dam Safety,-1
BARTLETT POND DAM,NY01114-1319,"Dam overtopped by estimated 6"" of water.  Hurricane Irene",Irene,-1,NY01114,BARTLETT BROOK,NYS DEC,-1,-1
BASELINE - EAST,CO00214-2062,"Unprecedented, uncontrolled inflows Colorado Flooding of 9-13",-1,-1,CO00214,DRY CREEK,DWR,-1,-1
BASELINE - NORTHWEST,CO02820-2063,slope instability with uncontrolled inflow and continuing rain. Colorado Flooding of 9-13,-1,-1,CO02820,SOUTH BOULDER CREEK-OS,DWR,-1,-1
BASS HAVEN LAKE DAM,TX05119-2797,BREACHED,-1,-1,TX05119,TR-COON CREEK,TCEQ,TX DEQ,-1
BASTROP STATE PARK DAM,TX02717-2612,Severe storms caused the dam to overtop and fail,-1,"rainfall event began around 4 pm on May 25, dropping about 4 to 5 inches of rain in Travis and Bastrop Counties in about 2 hours",TX02717,TR-COPPERAS CREEK,TCEQ,GEER Report,Y
BATAVIA KILL WATERSHED DAM #3,NY00608-1297,Right auxiliary spillway eroded down by 50 feet but has not reached the control section of the spillway. Hurricane Irene.,Irene,-1,NY00608,TR-BATAVIA KILL,NYS DEC,-1,-1
BATAVIA KILL WATERSHED DAM #4A,NY00570-1295,Erosion observed on both auxiliary spillways.   Hurricane Irene.,Irene,-1,NY00570,BATAVIA KILL,NYS DEC,-1,-1
BATTLE LAKE DAM,TX04113-779,Spillway drop inlet failed and drained the lake,-1,County Emergency management personnel were contacted and were ready to evacuate.,TX04113,RIGGS CREEK,N,-1,-1
BAXLEY 501 POND DAM,SC01805-3122,"Hurricane Florence dropped heavy precipation on the watershed over approximately 72 hours, causing the dam to overtop.  Dam was previously heavily impacted from Hurricane Matthew in 2016.  Failure location is also where a void from an overturned tree was located, which is suspected as cause of the breach occurring where it did.",Hurricane Florence,Report on dam failures associated with Hurricane Florence to be released by Geotechnical Extreme Event Reconnaisance (GEER) group at some point in the future. GEER team field work occurred during month of September 2018.,SC01805,LITTLE REEDY CREEK,SC DHEC,SC Dam Safety,-1
BAXLEY 501 POND DAM,SC01805-3008,Hurricane Matthew - Overtopping of auxilliary spillway with significant erosion.,Matthew,-1,SC01805,LITTLE REEDY CREEK,SCDHEC,SC DHEC,-1
BAYLESS PULP & PAPER MILL,PA00000-200,-1,-1,Fatalities: 88 -,PA00000,-1,-1,-1,-1
BEARFOOT LAKE DAM,TX03916-2787,OVERTOPPING,-1,-1,TX03916,MILL CREEK,N,TX DEQ,-1
BEARFOOT LAKE DAM,TX03916-2792,OVERTOPPING,-1,-1,TX03916,MILL CREEK,N,TX DEQ,-1
BEARFOOT LAKE DAM,TX03916-2755,E.S. BREACH,-1,-1,TX03916,MILL CREEK,N,TX DEQ,-1
BEAUFONT SPRING DAM,VA04177-2443,Overtopping resulted in erosion of downstream face,-1,Damage limited to the dam itself,VA04177,TRIB. POWHITE CREEK,DCR,-1,-1
BEAVER CREEK DAM,VA089003-3304,"Damage due to excessive rain.  Unable to maintain the lower pool level of 18” down from crest of their concrete spillway, and water is again flowing through their damaged concrete spillway.  Voids under the concrete spillway and heaved slab sections on th",-1,It was then found that even with flows as low as 0.5 CFS (about 225 gallons per minute)in the spillway there was continual and significant amounts of subslab base material from under the spillway concrete spillway eroding out and depositing into the plun,VA089003,BEAVER CREEK,DEPARTMENT OF CONSERVATION AND RECREATION,VA DCR,-1
BEAVER PARK,CO00763-3014,Sinkholes developed in the reservoir area on the far left abutment,-1,"probably connected to 1916 landslide seepage area.  Seepage there jumped from 0.10' to 0.3' on a 6-inch parshal flume.  EAP Level 1 activation, reservoir lowering to below any new sinkholes.",CO00763,BEAVER CREEK,DWR,CO DWR,-1
BECKMAN LAKE,WI00998-3420,Wasn't a significant incident per se.  Stoplog at the bottom of the riser pipe broke. Was signficant in the fact that nearly the entire impoundment needed to drain in order to complete repair.,-1,Repair to stoplog has since been completed.,WI00998,ZANDER CREEK,WIDNR,WI Dam Safety,-1
BEDFORD WATER SUPPLY DAM,IA01052-3245,Piping and loss of significant downstream embankment slope due to deteriorated corrugated metal pipe.,-1,-1,IA01052,TR-EAST FORK 102 RIVER,IOWA DNR,IA DNR,-1
BEDFORD WATER SUPPLY DAM,IA01052-3360,Piping and loss of significant downstream embankment slope due to deteriorated corrugated metal pipe.,-1,-1,IA01052,TR-EAST FORK 102 RIVER,IOWA DNR,IA Dam Safety,-1
BELLEVILLE,WI00116-3338,Boils on downstream side of auxiliary spillway due to scour,-1,"Evacuated as a precaution, also due to general flooding. Water in some basements.",WI00116,SUGAR,WIDNR,WI DNR,-1
BELMEAR LAKE,CO02059-3168,5-foot diamter sinkhole over outlet works. Owner responded and used a siphon to drain the reservoir before it progressed to failure,-1,Reservoir was given zero storage restriction.  The outlet works were rehabilitated and reservoir has returned to full storage February 2019.,CO02059,DISAPPOINTMENT CREEK-TR,DWR,CO DWR,-1
BELVEDERE LAKE DAM,NY01270-1283,Report that water was flowing over 4 feet over the dam.   Hurricane Irene.,Irene,-1,NY01270,TR-CHERRY VALLEY CREEK,NYS DEC,-1,-1
BENNETTS BRIDGE RD. DAM,NC05977-2978,"small dam breach on left side in a controlled fashion, did not cause damage to road",Matthew,-1,NC05977,-1,NCDENR,NCDEQ,-1
BIDDLE LAKE DAM,MS04513-3479,"1 of 3 culverts blocked.  The loss of capacity lead to overtopping of the dam, eroding backslope.",-1,-1,MS04513,-1,MS DEPARTMENT OF ENVIRONMENTAL QUALITY,MDEQ Dam Safety,-1
BIG BONE LICK STATE PARK DAM,KY00307-3275,Dam experienced a piping incident on the downstream slope with large sinkhole formation. Drawdown only partially functional. Suspect failed low level conduit.,-1,-1,KY00307,BIG BONE CREEK,KY DIVISION OF WATER,KY DNR,-1
BIG CREEK DAM,TX06314-2928,SEVERE UPSTREAM SLOPE SLIDE,-1,-1,TX06314,BIG CREEK,TCEQ,-1,-1
BIG ELK LAKE,PA00056-3205,PA DAM SAFETY INFORMED OF CLEAR SEEPAGE EXITING ON LEFT SIDE OF A SPILLWAY.,-1,"""NOT AN IMMINENT EMERGENCY SITUATION""",PA00056,ELK LAKE STREAM,PENNSYLVANIA DEPARTMENT OF ENVIRONMENTAL PROTECTION,PA Dam Safety,-1
BIG ELK LAKE,PA00056-3204,"OVERTOPPING OF DAM DURING EXTREME RAINFALL CAUSED ""SCOUR OR SINKHOLE"" IN TOP OF DAM",-1,EAP INDICATES 15 PEOPLE AT RISK FROM FAILURE.  EAP WAS IMPLEMENTED WITH EVACULATIONS.,PA00056,ELK LAKE STREAM,PENNSYLVANIA DEPARTMENT OF ENVIRONMENTAL PROTECTION,PA Dam Safety,-1
BIG ELK LAKE,PA00056-3223,"EAP EVACUATIONS.  OWNER PUT SANDBAGS, TWO LAYERS, ACROSS TOP OF DAM.  WATER ROSE ABOVE FIRST LAYER.",TS Lee,"OVERTOPPING PREVENTED BY SANDBAGS.  BY 4:30 PM, 9/8/11 WATER HAD RECEDED TO 6 INCH BELOW TOP OF DAM.",PA00056,ELK LAKE STREAM,PENNSYLVANIA DEPARTMENT OF ENVIRONMENTAL PROTECTION,PA Dam Safety,-1
BIG LAKE DAM,TX03753-2744,OVERTOPPING,-1,-1,TX03753,TR-MAGNUS BRANCH,TCEQ,TX DEQ,-1
BIG MILLPOND DAM,MD00080-3080,Dam failed after heavy rainfall event. No details known about failure mechanism.,-1,-1,MD00080,LITTLE MILL RUN,MD DAM SAFETY,MDE Dam Safety Program,-1
BILBRO LAKE DAM,MS02021-3468,Overtopped from insufficient spillway capacity; cut aux spillway to the northwest side of the dam.,-1,-1,MS02021,TR- PELLAPHALIA CREEK,MS DEPARTMENT OF ENVIRONMENTAL QUALITY,MDEQ Dam Safety,-1
BILLS RANCH LAKE,CO00000-1365,Runoff from high snowpack and spillway blockage resulted in overtopping of the dam - rodent damage in the crest,-1,3 day event - Minor flood damage to streets downstream due to runoff No evacuations. Several homes were put on notice to be prepared to evacuate by the Town of Frisco Town of Frisco and Summit County LEM contacted. Owner instructed to place sandbags and plastic sheets to alleviate overtopping damage and monitor daily through incident. Owner removed flashboards and removed obstructions.  Sandbags and plastic did help alleviate overtopping,CO00000,MINERS,CO Division of Water Resources,-1,-1
BISHOP CREEK DAM,NV00050-3435,Magnitude 4.7 earthquake approximately ## miles to the south shook most the upstream concrete face off of the dam and collapsed the outlet control structure. Debris from damage is blocking the approach to the outlet.,-1,Reservoir has been under state order to remain drained since near failure due to large seeps and downstream slope failure in 1984.,NV00050,BISHOP CREEK,NEVADA DWR,-1,-1
BLACK CREST FARM POND DAM,SC01442-3044,Heavy rains-as much as 16 inches caused several dams to overtop and fail.,-1,-1,SC01442,-1,SCDHEC,SC DHEC,-1
BLACK RIVER FALLS,WI00043-3561,Multiple trees stuck under tainter gate after major flood event. Gate could not fully close.,-1,-1,WI00043,BLACK RIVER,-1,WI Dam Safety,-1
BLACKBURN LAKE DAM,TX00970-2764,SPWY FAILURE,-1,-1,TX00970,CONNER SPRING BRANCH,TCEQ,TX DEQ,-1
BLACKWELL POND DAM,SC01982-2999,Hurricane Matthew,Matthew,-1,SC01982,TR-MEADOW POND BRANCH,SCDHEC,SC DHEC,-1
BLAIRS POND DAM,DE00070-1205,Prolonged discharge at a higher than normal rate through a concrete overflow spillway exacerbated erosion of a known void in the soil beneath the spillway.,Irene,"Void was discovered under the left downstream edge of the spillway during an inspection in August 2011, and had not been repaired prior to Irene.  The immediate post-Irene inspection did not reveal any change in the size of the void, but 11 days after the storm a sinkhole developed near the left upstream corner of the spillway.  The remaining flashboards were removed from the spillway to lower the pond level below the spillway elevation and the void was filled with concrete on 9/9/2011. Subsequent repairs will be made to seal open construction joints and cracks in the spillway slab, which are thought to be the source of leakage through the slab that caused the void to develop.",DE00070,BEAVERDAM BRANCH,DNREC,-1,-1
BLANCHARD POND DAM,MI00118-1760,Broken board on the outlet structure and impoundment drawn down.,-1,-1,MI00118,NORTH BRANCH PINE RIVER,Michigan DEQ,-1,-1
Blanche Street Pond Dam,MS00000-3488,Dam next to Town Creek;  water backflowing from the creek into the pond through a piping failure.,-1,-1,MS00000,-1,MS DEPARTMENT OF ENVIRONMENTAL QUALITY,MDEQ Dam Safety,-1
BLAND LAKE DAM,TX03968-2719,"OVERTOPPING, DID NOT BREACH",-1,-1,TX03968,AYISH BAYOU,TCEQ,TX DEQ,-1
BLENHEIM - GILBOA LOWER,NY00692-1288,Record high water levels.  Hurricane Irene.,Irene,-1,NY00692,SCHOHARIE CREEK,NYS DEC,-1,-1
BLENHEIM - GILBOA UPPER,NY00691-1289,Record high water behind dam.  Hurricane Irene.,Irene,-1,NY00691,SCHOHARIE CREEK,NYS DEC,-1,-1
BLOOMFIELD DAM,NE09728-3035,Headcut developed in vegetated earthen spillway.  Headcut advanced until it reached the reservoir and breached the dam.,-1,Damages limited to the dam itself. Railroad and State Highway closed during incident.,NE09728,TRIB. TO ELK CREEK,NDNR,NeDNR,-1
BONASA BREAKS RANCH DAM,WA00000-3156,"An unpermitted dam impounding 36 acre-feet of water suddenly breached, releasing about 29 acre-feet of water. The resulting flood caused extensive damage to public infrastructure, private property, and critical stream habitat. No lives were lost.",-1,"Owner cost for penalties, dam stabilization and downstream repairs added up to about $3M.",WA00000,RATTLESNAKE CREEK - TR,-1,-1,-1
BONG RECREATION AREA 8,WI01149-1580,Water breached the dam's overflow pipe. High water has also washed away the soil surrounding the pipe.,-1,State highway closed,WI01149,TR. BRIGHTON CREEK,WIDNR,-1,-1
BOURBANIS DAM,ND00083-3557,A late-season snowstorm in mid-April led to snowfall accumulations from 12 inches to 30 inches in the watershed.  Spring rains in late April and early May accelerated the snowmelt and added to the runoff volume.  Flow through the auxiliary spillway caused a progressing headcut in the grass-lined spillway.,-1,-1,ND00083,TONGUE RIVER-TR,NDSWC,ND Dam Safety,-1
BOURBANIS DAM,ND00083-1942,"Watershed received 4-6 inches of rain on May 20, 2013.  The reservoir was already full from heavy late season snow and late season snowmelt runoff.  Water flowed through the dam's earthen auxiliary spillway on May 21-22, 2013 and again on May 31, 2013.",-1,"The dam's auxiliary spillway was damaged. Flow through the spillway resulted in a major headcut at the downstream end of the auxiliary spillway, and a signifcant erosion channel at the entrance to the auxiliary spillway.",ND00083,TONGUE RIVER-TR,NDSWC,-1,-1
BOWEN 2,VA00000-281,test,-1,-1,VA00000,-1,-1,-1,-1
BOWEN IRRIGATION POND DAM,GA05016-280,test  test,-1,test,GA05016,CYPRESS CREEK,-1,-1,-1
BOWLING POND DAM,SC01973-2997,Hurricane Matthew,Matthew,-1,SC01973,BINGHAM BRANCH,SCDHEC,SC DHEC,-1
BOXLEY BURST,WA00000-123,-1,-1,precise date unknown. Excessive seepage through glacial  moraine  abutment caused mud flow about 1 mi. from reservoir. Destroyed RR line &  village of  Eastwick.,WA00000,-1,-1,-1,-1
BOYDS POND DAM,SC00096-3055,Heavy rains-as much as 16 inches caused several dams to overtop and fail.,-1,-1,SC00096,TOMS CREEK,SCDHEC,SC DHEC,-1
BOYKIN LAKE DAM,TX03751-2745,OVERTOPPING,-1,-1,TX03751,MANGUS BRANCH,TCEQ,TX DEQ,-1
BOYLE POND DAM,SC01431-3041,Heavy rains-as much as 16 inches caused several dams to overtop and fail.,-1,-1,SC01431,-1,SCDHEC,SC DHEC,-1
BRAINARD LAKE DAM,NJ00152-1400,"The seepage was observed on the downstream side of the dam, adjacent to the culvert, flowing not through the culvert but under and through the downstream masonry wall.  The lake level had dropped one foot.",-1,-1,NJ00152,CRANBURY BROOK,NJDEP,-1,-1
BRAWNER LAKE,MN00120-3105,"In 2015, a small seperation between the riser and outlet conduit occurred, resulting in a slowly falling lake level. In 2017, the corroded conduit seperated from the riser draining the lake.",-1,-1,MN00120,REDWOOD RIVER,MNDNR EWR,MNDNR,-1
BREAKNECK BROOK DAM,NY13564-1316,Increased seepage identified by owner NYS Parks.  High water during Hurricane Irene.,Irene,-1,NY13564,BREAKNECK BROOK,NYS DEC,-1,-1
BREDTHAUER DAM,NE00264-1222,Heavy rainfall runoff.,-1,An irrigation company intentionally breached one of their canals upstream of the dam which may have helped cause the dam to fail.  Most of the flooding in North Loup was due to the heavy rainfall runoff.  We do not know how much the failure of the dam contributed to the flooding. Water and sewer service were disrupted.,NE00264,-1,-1,-1,-1
BREEDSVILE,MI00000-158,-1,-1,Failure a result of high flows resulting from heavy rains.,MI00000,-1,-1,-1,-1
BRIGHTON,MD00005-3430,Underwater leak through concrete face of buttress dam,-1,-1,MD00005,PATUXENT RIVER,MD DAM SAFETY,MD Dam Safety,-1
BRIGHTON,MD00005-3157,Excessive concrete removal from spillway slab during repairs resulted in potential instability,-1,Repairs took 6 months,MD00005,PATUXENT RIVER,MD DAM SAFETY,MD Dam Safety,-1
BRISTOL HEAD #1,CO00984-3170,Small seep pond below Santa Maria Reservoir with a relatively large outlet conduit. Conduit failed just behind the upstream valve and drained most of the reservoir through the conduit uncontrollably.,-1,Currently has zero storage restriction,CO00984,SEEPAGE CREEK,DWR,CO DWR,-1
BROKAW,WI00000-202,-1,-1,-1,WI00000,-1,-1,-1,-1
BROOKSTONE LAKE DAM,MS03665-1441,PIPING THROUGH CONDUIT CLOSE TO RISER,-1,DAM APPEARS TO HAVE FAILED THROUGH AN OPEN JOINT IN CONDUIT NEAR TO THE RISER. EMBANKMENT MATERIAL PIPED THROUGH HOLE UNTIL A CLEAR PATHWAY TO LAKE WAS ESTABLISHED. LAKE DRAINED THROUGH HOLE.,MS03665,TRIBUTARY OF TRIBUTARY OF BEAR CREEK,MS Dept. of Environmental Quality,-1,-1
BROOKVILLE WATERWORKS,PA00422-3188,"HEAVY RAINS RESULTED IN 18"" OVERTOPPING, WASHED AWAY EARTH DAM D/S OF CONCRETE CORE.",-1,-1,PA00422,NORTH FORK CREEK,PENNSYLVANIA DEPARTMENT OF ENVIRONMENTAL PROTECTION,PA Dam Safety,-1
BROWN BRIDGE DAM,MI00544-1460,"Investigation determined water pressure destabilized subsurface soils and led to erosion of foundation soils, release of water beneath the control structure and collapse of an earthen embankment beside part of the drawdown structure.",-1,Failure of a temporary dam put in place to gradually release water from Brown Bridge pond. Report of 66 properties damaged. Property-damage lawsuits pending.,MI00544,BOARDMAN RIVER,Michigan DEQ,-1,Y
BRUSHVILLE LAKE,PA00000-3235,STONE MASONRY EARTHFILL DAM OVERTOPPED AND FAILED; FULLY BREACHED.,-1,"PERMIT APP, INACTIVE FOR YRS, IS ACTIVE AS OF 2018, NEARLY COMPLETED BUT NOT YET ISSUED.",PA00000,LEWIS CREEK,PADEP,PA Dam Safety,-1
BRYAN UTILITIES LAKE DAM,TX01869-2683,MAJOR SLOPE FAILURE,-1,-1,TX01869,TR-THOMPSONS/PEACH CREEKS,TCEQ,TX DEQ,-1
BUCK,VA03502-1542,"Severe storms caused water to flow over the dam and flashboards, causing the water pressure to build up to potentially unsafe levels behind the dams.  The flashboards are designed to give way but in this case, they needed to be removed by hand.",-1,"Pulaski County declared a state of emergency and issuedmandatory evacuations in the Parrott, Belspring, Hiwassee, Delton, and Allisonia communities.  About 80 homes were contacted for evacuation.",VA03502,NEW RIVER,DCR,-1,Y
Buckeye Water District Reservoir II,OH03216-3455,Excessive Seepage upon first filling,-1,Owner added toe drain and interior clay liner,OH03216,Stream Little Yellow Creek-OS,DEPARTMENT OF NATURAL RESOURCES,OH Dam Safety,-1
BUESCHER STATE PARK LAKE DAM,TX02711-2770,PIPING,-1,-1,TX02711,HUNT BRANCH,TCEQ,TX DEQ,-1
BUFFALO CREEK,WV00000-126,-1,-1,Fatalities: 125 -,WV00000,-1,-1,-1,-1
BUFFALO LAKE ROAD DAM 1,SD00518-2141,Based on news reports and SD Dam Safety info it appears that CMP spillways deteriorated and failed causing internal erosion and sink holes. High water in the lake exacerbated the erosion.,-1,The CMP Spillway was added about 25 years ago per SD Dam Safety. Attached photos from both dam 1 & 2.,SD00518,TR CHEYENNE,DENR,-1,Y
